question,answer
"What are KCB branch hours?","KCB branches operate from 8:30 AM to 4:30 PM on weekdays and 9 AM to 12 PM on Saturdays."
"Where is the nearest KCB branch?","You can find the nearest KCB branch using the branch locator or by sharing your location."
"What are KCB Mtaani agent hours?","KCB Mtaani agents operate daily from 7 AM to 10 PM including weekends."
"Where can I find a KCB agent?","KCB Mtaani agents are located in supermarkets, shopping centers, and residential areas nationwide."
"What are M-Pesa charges?","M-Pesa charges depend on the amount transferred and are displayed before confirmation."
"How much does it cost to send money?","Transfer charges vary by amount and destination and are shown before you complete the transaction."
"How do I pay KPLC?","Open mobile banking, select Pay Bills, choose KPLC, enter your meter number, and confirm payment."
"How do I pay water bills?","Select Pay Bills, choose your water provider, enter the account number, and confirm payment."
"What documents are required for a loan?","You need a national ID, proof of income, and 6 months of bank statements."
"How do I apply for a loan?","Log in to the mobile banking app, select Loans, choose a product, and submit your application."
"What is the personal loan interest rate?","Interest rates depend on the loan type and your credit profile and are shown in the app."
"What is the USD exchange rate?","The USD exchange rate is updated daily and available in the banking app and website."
"What is the EUR exchange rate?","The EUR exchange rate is updated daily based on market rates."
"How do I reset my password?","Open the banking app, select Forgot Password, verify your identity, and set a new password."
"How do I block my card?","Log in to the banking app, go to Cards, select your card, and choose Block Card."
"What should I do if my card is stolen?","Immediately block your card in the app or contact customer support."
"How do I check my account balance?","Log in to the mobile banking app to view your balance securely."
"How do I view my transactions?","Log in to the app and open the Transactions section to see your transaction history."
"How long do transfers take?","Most transfers are instant, but some interbank transfers may take up to 24 hours."
"How do I open a new account?","You can open a new account online via the KCB website or mobile banking app."
